ID_Item,Scenario,Country,Energy,Sector,Sub_Sector,Usage,Source,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heat Demand,CS1,SI,na,TER,Buildings,space heating,Eurostat,TWh,1.864232871,1.918369888,1.912478095,1.908915183,1.908018703,1.909882132,1.906760552,1.900600499,1.893555067,1.885671246,1.876431971,1.865743773,1.854892181,1.844666771,1.835383845,1.825482826,1.812813764,1.798836552,1.78176632,1.762813425,1.741677158,1.718886944,1.695175523,1.670965602,1.646616192,1.6216936,1.596319275,1.570617575,1.544522163,1.518035421,1.491212485
Heat Demand,CS1,SK,na,TER,Buildings,space heating,Eurostat,TWh,6.569287474,6.820531855,6.858600661,6.881153909,6.889293625,6.883309341,6.863655872,6.831733801,6.812197524,6.795223403,6.793030172,6.769992893,6.745868255,6.72331381,6.701008597,6.679515533,6.649716428,6.616834958,6.572543335,6.515700374,6.445815844,6.363997497,6.274296053,6.17842894,6.076251413,5.970513969,5.862084955,5.752076868,5.641822552,5.530209687,5.417814379
Heat Demand,CS1,AT,na,RES,na,space heating,Eurostat,TWh,39.73181739,39.78817139,39.8355417,39.86761075,39.88259404,39.87922986,39.85396285,39.81390335,39.76389478,39.70393163,39.6324879,39.54949122,39.45775093,39.34811271,39.22154367,39.0770258,38.91238249,38.73578727,38.54478935,38.3401523,38.12230603,37.89125826,37.62761427,37.33074174,36.99967999,36.6333798,36.23238718,35.81513155,35.38087752,34.92843872,34.45917392
Heat Demand,CS1,BE,na,RES,na,space heating,Eurostat,TWh,53.10095583,52.98884887,52.87142208,52.74125039,52.59690194,52.43748835,52.25923293,52.071343,51.87985766,51.68483906,51.48580986,51.28559165,51.08515446,50.87276933,50.64869393,50.41234144,50.16054563,49.90120705,49.6305659,49.34914241,49.05683032,48.75329312,48.41300678,48.03504002,47.61799059,47.16052121,46.66146074,46.14380723,45.60775095,45.05341593,44.48128768
Heat Demand,CS1,BG,na,RES,na,space heating,Eurostat,TWh,13.71252882,13.6468989,13.57906639,13.50800719,13.43446465,13.3583067,13.28025054,13.2034922,13.12866046,13.05690446,12.98697221,12.91973125,12.85452936,12.79087815,12.73158887,12.67503057,12.61839133,12.55870487,12.4954333,12.43011606,12.36268883,12.29104843,12.21410003,12.13125964,12.04183737,11.94524109,11.83993948,11.72764638,11.60799059,11.48101783,11.34656749
Heat Demand,CS1,CH,na,RES,na,space heating,Eurostat,TWh,37.498523,37.39615678,37.28196977,37.15254142,37.00824125,36.84985362,36.67635535,36.49511692,36.30975784,36.11906445,35.92197447,35.72057764,35.5164146,35.3017836,35.0774164,34.84355145,34.59829241,34.34754497,34.08936352,33.8250644,33.55519293,33.27996512,32.98228234,32.6622198,32.3194317,31.95324952,31.56329158,31.16483801,30.75697306,30.33850388,29.90869397
Heat Demand,CS1,CZ,na,RES,na,space heating,Eurostat,TWh,42.32936632,42.53361152,42.71766628,42.87538889,43.00650991,43.11460849,43.19718984,43.26969373,43.33231304,43.39077101,43.43955516,43.47869767,43.50611886,43.52434769,43.53495896,43.54314615,43.54555077,43.53766896,43.51924248,43.49276825,43.45591893,43.40195121,43.32366253,43.21863381,43.08450661,42.91718652,42.71020351,42.46849001,42.19285012,41.88127341,41.53307016
Heat Demand,CS1,DE,na,RES,na,space heating,Eurostat,TWh,334.7830785,333.2431201,331.5770703,329.7651494,327.8238089,325.7868714,323.6171011,321.3949907,319.1429787,316.8793571,314.5875692,312.2798469,309.9797182,307.6082674,305.1712552,302.6623568,300.056449,297.4183723,294.7067226,291.9332419,289.1200671,286.2646969,283.2302936,280.0119765,276.6008462,272.9922474,269.1929282,265.3217407,261.3834525,257.3711964,253.2935985
Heat Demand,CS1,DK,na,RES,na,space heating,Eurostat,TWh,32.0908364,31.99990872,31.90637838,31.80490629,31.69374145,31.57156499,31.43528821,31.28980943,31.1381756,30.98041421,30.81588323,30.64594567,30.47025196,30.28122835,30.08013197,29.86727696,29.64115862,29.4068935,29.16276858,28.90967528,28.64804611,28.37836176,28.08643852,27.77256925,27.43677855,27.07891903,26.69899314,26.31063299,25.91421967,25.50995314,25.0981249
Heat Demand,CS1,ES,na,RES,na,space heating,Eurostat,TWh,56.38772893,55.9673085,55.54736518,55.12450828,54.69440456,54.26279072,53.82602746,53.39235403,52.97239894,52.56830106,52.17785065,51.80034156,51.43951724,51.07934673,50.72027452,50.36204885,50.00073756,49.6434826,49.28570219,48.92577994,48.56398353,48.19754193,47.80034199,47.36882383,46.9010344,46.3929412,45.84400982,45.27546892,44.68762546,44.08190492,43.46111808
